vinevar,age,unit,geo\time	2020 	2015 
VIM_TOT,TOTAL,HA,FRA2	: 	0 
VIM_TOT,TOTAL,HA,FRA3	: 	0 
VIM_TOT,TOTAL,HA,FRA4	: 	0 
VIM_TOT,TOTAL,HA,FRA5	: 	0 
VIM_TOT,TOTAL,HA,FRB0	20773 	: 
VIM_TOT,TOTAL,HA,FRC1	33268 	: 
VIM_TOT,TOTAL,HA,FRC2	1897 	: 
VIM_TOT,TOTAL,HA,FRD1	: c	: 
VIM_TOT,TOTAL,HA,FRD2	1 	: 
VIM_TOT,TOTAL,HA,FRE1	12 	: 
VIM_TOT,TOTAL,HA,FRE2	3365 	: 
VIM_TOT,TOTAL,HA,FRF1	14900 	: 
VIM_TOT,TOTAL,HA,FRF2	30790 	: 
VIM_TOT,TOTAL,HA,FRF3	274 	: 
VIM_TOT,TOTAL,HA,FRG0	30688 	: 
VIM_TOT,TOTAL,HA,FRH0	11 	: 
VIM_TOT,TOTAL,HA,FRI1	138618 	: 
VIM_TOT,TOTAL,HA,FRI2	98 	: 
VIM_TOT,TOTAL,HA,FRI3	91789 	: 
VIM_TOT,TOTAL,HA,FRJ1	228179 	: 
VIM_TOT,TOTAL,HA,FRJ2	36366 	: 
VIM_TOT,TOTAL,HA,FRK1	1034 	: 
VIM_TOT,TOTAL,HA,FRK2	46881 	: 
VIM_TOT,TOTAL,HA,FRL0	91713 	: 
VIM_TOT,TOTAL,HA,FRM0	6280 	: 
VIM_TOT,TOTAL,HA,HR	10721 	12115 
VIM_TOT,TOTAL,HA,HR02	4650 	: 
VIM_TOT,TOTAL,HA,HR03	5026 	5484 
VIM_TOT,TOTAL,HA,HR04	: 	6631 
VIM_TOT,TOTAL,HA,HR05	18 	: 
VIM_TOT,TOTAL,HA,HR06	1027 	: 
VIM_TOT,TOTAL,HA,HU	56893 	60285 
VIM_TOT,TOTAL,HA,HU10	: 	1548 
VIM_TOT,TOTAL,HA,HU11	4 	: 
VIM_TOT,TOTAL,HA,HU12	1337 	: 
VIM_TOT,TOTAL,HA,HU21	6760 	7449 
VIM_TOT,TOTAL,HA,HU22	2489 	3812 
VIM_TOT,TOTAL,HA,HU23	9795 	10205 
VIM_TOT,TOTAL,HA,HU31	16322 	16510 
VIM_TOT,TOTAL,HA,HU32	692 	753 
VIM_TOT,TOTAL,HA,HU33	19495 	20007 
VIM_TOT,TOTAL,HA,IT	650890 	638684 
VIM_TOT,TOTAL,HA,ITC1	41601 	48855 
VIM_TOT,TOTAL,HA,ITC2	202 	394 
VIM_TOT,TOTAL,HA,ITC3	1062 	1051 
VIM_TOT,TOTAL,HA,ITC4	21305 	24371 
VIM_TOT,TOTAL,HA,ITF1	31949 	28646 
VIM_TOT,TOTAL,HA,ITF2	5072 	4322 
VIM_TOT,TOTAL,HA,ITF3	23157 	17939 
VIM_TOT,TOTAL,HA,ITF4	87507 	100426 
VIM_TOT,TOTAL,HA,ITF5	1885 	3917 
VIM_TOT,TOTAL,HA,ITF6	7916 	6774 
VIM_TOT,TOTAL,HA,ITG1	118292 	92885 
VIM_TOT,TOTAL,HA,ITG2	23979 	18539 
VIM_TOT,TOTAL,HA,ITH1	5132 	4396 
VIM_TOT,TOTAL,HA,ITH2	9446 	10396 
VIM_TOT,TOTAL,HA,ITH3	92644 	89627 
VIM_TOT,TOTAL,HA,ITH4	25931 	21731 
VIM_TOT,TOTAL,HA,ITH5	50980 	60969 
VIM_TOT,TOTAL,HA,ITI1	58213 	60438 
VIM_TOT,TOTAL,HA,ITI2	11564 	12114 
VIM_TOT,TOTAL,HA,ITI3	15021 	15381 
VIM_TOT,TOTAL,HA,ITI4	18033 	15514 
VIM_TOT,TOTAL,HA,PT	171111 e	194063 d
VIM_TOT,TOTAL,HA,PT11	81411 e	80394 
VIM_TOT,TOTAL,HA,PT15	1513 e	1575 
VIM_TOT,TOTAL,HA,PT16	42234 e	70862 
VIM_TOT,TOTAL,HA,PT17	9266 e	8805 
VIM_TOT,TOTAL,HA,PT18	36686 e	32428 
VIM_TOT,TOTAL,HA,RO	69543 	167384 
VIM_TOT,TOTAL,HA,RO11	509 	7245 
VIM_TOT,TOTAL,HA,RO12	3497 	5867 
VIM_TOT,TOTAL,HA,RO21	9383 	25599 
VIM_TOT,TOTAL,HA,RO22	39734 	65317 
VIM_TOT,TOTAL,HA,RO31	5947 	28049 
VIM_TOT,TOTAL,HA,RO32	0 	511 
VIM_TOT,TOTAL,HA,RO41	7498 	30032 
VIM_TOT,TOTAL,HA,RO42	2974 	4764 
VIM_TOT,TOTAL,HA,SI	10837 	12047 
VIM_TOT,TOTAL,HA,SI03	5757 	7116 
VIM_TOT,TOTAL,HA,SI04	5080 	4931 
VIM_TOT,TOTAL,HA,SK	13067 	7828 
VIM_TOT,TOTAL,HA,SK01	2030 	1575 
VIM_TOT,TOTAL,HA,SK02	8320 	5080 
VIM_TOT,TOTAL,HA,SK03	1444 	780 
VIM_TOT,TOTAL,HA,SK04	1272 	394 
VIM_TOT,TOTAL,HLD,AT	11319 	13399 
VIM_TOT,TOTAL,HLD,AT11	2481 	3141 
VIM_TOT,TOTAL,HLD,AT12	6742 	7993 
VIM_TOT,TOTAL,HLD,AT13	237 	254 
VIM_TOT,TOTAL,HLD,AT21	59 	71 
VIM_TOT,TOTAL,HLD,AT22	1726 	1879 
VIM_TOT,TOTAL,HLD,AT31	43 	33 
